Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Num,Pct,Num,Pct,Num,Pct,Status
92,2023,2024-01-07,17,18,27.347,NYJ,@,NWE,W 17-3,,1.0,1,0,1,1,1,0,0,0,0,0,0%,13,23%,1,4%,
93,2024,2024-09-09,1,1,28.228,NYJ,@,SFO,L 19-32,,0.0,1,2,3,1,0,0,0,0,0,0,0%,16,22%,2,8%,
94,2024,2024-09-15,2,2,28.234,NYJ,@,TEN,W 24-17,,0.0,0,1,1,0,0,0,0,0,0,0,0%,15,23%,1,4%,
95,2024,2024-09-19,3,3,28.238,NYJ,,NWE,W 24-3,,0.0,0,0,0,0,1,0,0,0,0,0,0%,19,37%,2,10%,
96,2024,2024-09-29,4,4,28.248,NYJ,,DEN,L 9-10,,,,,,,,,,,,0,0%,27,44%,1,4%,
97,2024,2024-10-06,5,5,28.255,NYJ,@,MIN,L 17-23,,,,,,,,,,,,0,0%,26,36%,5,17%,
98,2024,2024-10-14,6,6,,NYJ,,BUF,L 20-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
99,2024,2024-10-20,7,7,28.269,WAS,,CAR,W 40-7,,0.0,1,0,1,0,0,0,0,0,0,0,0%,16,37%,0,0%,
100,2024,2024-10-27,8,8,28.276,WAS,,CHI,W 18-15,,1.0,1,0,1,1,1,0,0,0,0,0,0%,11,17%,0,0%,
101,2024,2024-11-03,9,9,28.283,WAS,@,NYG,W 27-22,,0.0,0,1,1,0,0,0,0,0,0,0,0%,14,22%,0,0%,
102,2024,2024-11-10,10,10,28.290,WAS,,PIT,L 27-28,,0.0,2,0,2,0,0,0,0,0,0,0,0%,17,22%,0,0%,
103,2024,2024-11-14,11,11,28.294,WAS,@,PHI,L 18-26,,0.0,1,1,2,1,0,0,0,0,0,0,0%,19,27%,0,0%,
