Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct
75,2022,2022-11-13,10,10,26.313,SEA,@,TAM,L 16-21,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,253,50.60,0,253,50.6,0,0.0%,4,80.0%,0,0,0%,0,0%,7,33%
76,2022,2022-11-27,11,12,26.327,SEA,,LVR,L 34-40,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,191,47.75,11,180,45.0,0,0.0%,2,50.0%,0,0,0%,0,0%,10,29%
77,2022,2022-12-04,12,13,26.334,SEA,@,LAR,W 27-23,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,114,57.00,8,106,53.0,0,0.0%,0,0.0%,0,0,0%,0,0%,7,26%
78,2022,2022-12-11,13,14,26.341,SEA,,CAR,L 24-30,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,177,44.25,16,161,40.3,0,0.0%,0,0.0%,0,0,0%,0,0%,8,29%
79,2022,2022-12-15,14,15,26.345,SEA,,SFO,L 13-21,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,349,49.86,25,304,43.4,1,14.3%,3,42.9%,0,0,0%,0,0%,10,36%
80,2022,2022-12-24,15,16,26.354,SEA,@,KAN,L 10-24,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,238,47.60,18,220,44.0,0,0.0%,1,20.0%,0,0,0%,0,0%,7,29%
81,2022,2023-01-01,16,17,26.362,SEA,,NYJ,W 23-6,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,169,42.25,8,161,40.3,0,0.0%,2,50.0%,0,0,0%,0,0%,10,40%
82,2022,2023-01-08,17,18,27.004,SEA,,LAR,W 19-16,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,233,46.60,22,211,42.2,0,0.0%,1,20.0%,0,0,0%,0,0%,12,36%
83,2023,2023-09-10,1,1,27.249,SEA,,LAR,L 13-30,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,236,59.00,7,189,47.3,2,50.0%,0,0.0%,0,0,0%,0,0%,8,29%
84,2023,2023-09-17,2,2,27.256,SEA,@,DET,W 37-31,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,152,50.67,17,135,45.0,0,0.0%,2,66.7%,0,0,0%,0,0%,10,36%
