Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
99,2019,2019-09-22,3,3,29.137,PHI,,DET,L 24-27,*,,,,,,0.0%,,0,0,0,,,0,0,0,74,100%,0,0%,4,13%,
100,2019,2019-09-26,4,4,29.141,PHI,@,GNB,W 34-27,*,,,,,,0.0%,,0,0,0,,,0,0,0,62,100%,0,0%,4,15%,
101,2019,2019-10-06,5,5,29.151,PHI,,NYJ,W 31-6,*,,,,,,0.0%,,0,0,0,,,0,0,0,66,100%,0,0%,5,18%,
102,2019,2019-10-13,6,6,29.158,PHI,@,MIN,L 20-38,*,,,,,,0.0%,,0,0,0,,,0,0,0,64,100%,0,0%,5,17%,
103,2019,2019-10-20,7,7,29.165,PHI,@,DAL,L 10-37,*,,,,,,0.0%,,0,0,0,,,0,0,0,60,100%,0,0%,2,8%,
104,2019,2019-10-27,8,8,29.172,PHI,@,BUF,W 31-13,*,,,,,,0.0%,,0,0,0,,,0,0,0,73,100%,0,0%,4,15%,
105,2019,2019-11-03,9,9,29.179,PHI,,CHI,W 22-14,*,,,,,,0.0%,,0,0,0,,,0,0,0,84,100%,0,0%,5,17%,
106,2019,2019-11-17,10,11,29.193,PHI,,NWE,L 10-17,*,,,,,,0.0%,,0,0,0,,,0,0,0,24,33%,0,0%,2,7%,
107,2019,2019-11-24,,12,,PHI,,SEA,L 9-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
108,2019,2019-12-01,12,13,29.207,PHI,@,MIA,L 31-37,*,,,,,,0.0%,,0,0,0,,,0,0,0,69,100%,0,0%,6,19%,
109,2019,2019-12-09,13,14,29.215,PHI,,NYG,W 23-17,*,,,,,,0.0%,,0,0,0,,,0,0,0,28,32%,0,0%,1,3%,
110,2019,2019-12-15,,15,,PHI,@,WAS,W 37-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
111,2019,2019-12-22,,16,,PHI,,DAL,W 17-9,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
112,2019,2019-12-29,,17,,PHI,@,NYG,W 34-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
113,2020,2020-09-13,1,1,,PHI,@,WAS,L 17-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
114,2020,2020-09-20,2,2,30.135,PHI,,LAR,L 19-37,*,,,,,,0.0%,,0,0,0,,,0,0,0,69,97%,0,0%,1,4%,
115,2020,2020-09-27,3,3,30.142,PHI,,CIN,T 23-23,*,,,,,,0.0%,,0,0,0,,,0,0,0,91,100%,0,0%,0,0%,
116,2020,2020-10-04,4,4,30.149,PHI,@,SFO,W 25-20,*,,,,,,0.0%,,0,0,0,,,0,0,0,37,60%,0,0%,0,0%,
117,2020,2020-10-11,5,5,30.156,PHI,@,PIT,L 29-38,*,,,,,,0.0%,,0,0,0,,,0,0,0,39,66%,0,0%,0,0%,
118,2020,2020-10-18,6,6,,PHI,,BAL,L 28-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
119,2020,2020-10-22,7,7,30.167,PHI,,NYG,W 22-21,*,,,,,,0.0%,,0,0,0,,,0,0,0,60,74%,0,0%,0,0%,
120,2020,2020-11-01,8,8,,PHI,,DAL,W 23-9,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
121,2020,2020-11-15,9,10,30.191,PHI,@,NYG,L 17-27,*,,,,,,0.0%,,0,0,0,,,0,0,0,67,100%,0,0%,0,0%,
122,2020,2020-11-22,10,11,30.198,PHI,@,CLE,L 17-22,*,,,,,,0.0%,,0,0,0,,,0,0,0,41,60%,0,0%,0,0%,
123,2020,2020-11-30,11,12,,PHI,,SEA,L 17-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
