Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct,Status
79,2021,2022-01-02,16,17,26.346,PHI,@,WAS,W 20-16,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,9,41%,
80,2021,2022-01-08,17,18,26.352,PHI,,DAL,L 26-51,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,10,32%,
81,2022,2022-09-11,1,1,27.233,PHI,@,DET,W 38-35,,0,0,,0,0,0,,0,0,,,5,5,100.0,1,1,100.0,0,8,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,13,42%,
82,2022,2022-09-19,2,2,27.241,PHI,,MIN,W 24-7,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,9,43%,
83,2022,2022-09-25,3,3,27.247,PHI,@,WAS,W 24-8,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,8,31%,
84,2022,2022-10-02,4,4,27.254,PHI,,JAX,W 29-21,,0,0,,0,0,0,,0,0,,,2,3,66.7,1,1,100.0,0,5,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,11,46%,
85,2022,2022-10-09,5,5,,PHI,@,ARI,W 20-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
86,2022,2022-10-16,6,6,27.268,PHI,,DAL,W 26-17,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,10,42%,
87,2022,2022-10-30,7,8,27.282,PHI,,PIT,W 35-13,,0,0,,0,0,0,,0,0,,,5,5,100.0,,,,0,5,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,11,41%,
88,2022,2022-11-03,8,9,27.286,PHI,@,HOU,W 29-17,,0,0,,0,0,0,,0,0,,,3,3,100.0,,1,0.0,0,3,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,9,39%,
89,2022,2022-11-14,9,10,27.297,PHI,,WAS,L 21-32,,0,0,,0,0,0,,0,0,,,3,3,100.0,,,,0,3,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,7,27%,
90,2022,2022-11-20,10,11,27.303,PHI,@,IND,W 17-16,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,7,28%,
91,2022,2022-11-27,11,12,27.310,PHI,,GNB,W 40-33,,0,0,,0,0,0,,0,0,,,4,5,80.0,2,2,100.0,0,10,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,15,48%,
92,2022,2022-12-04,12,13,27.317,PHI,,TEN,W 35-10,,0,0,,0,0,0,,0,0,,,5,5,100.0,,,,0,5,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,12,41%,
93,2022,2022-12-11,13,14,27.324,PHI,@,NYG,W 48-22,,0,0,,0,0,0,,0,0,,,6,6,100.0,2,2,100.0,0,12,0.0,0,0,0,0,0,1,35,35.00,0,35,35.0,0,0.0%,0,0.0%,0,0,0%,0,0%,18,58%,
94,2022,2022-12-18,14,15,27.331,PHI,@,CHI,W 25-20,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,10,40%,
95,2022,2022-12-24,15,16,27.337,PHI,@,DAL,L 34-40,,0,0,,0,0,0,,0,0,,,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,13,42%,
96,2022,2023-01-01,16,17,27.345,PHI,,NOR,L 10-20,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,5,19%,
97,2022,2023-01-08,17,18,27.352,PHI,,NYG,W 22-16,,0,0,,0,0,0,,0,0,,,1,1,100.0,5,5,100.0,0,16,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,13,46%,
