Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct,Status
81,2023,2023-12-25,15,16,31.297,SFO,,BAL,L 19-33,,,,,,,,0,0,0.0,0,0,0,0,0,2,112,56.00,23,89,44.5,0,0.0%,1,50.0%,0,0,0%,0,0%,5,19%,
82,2023,2023-12-31,16,17,31.303,SFO,@,WAS,W 27-10,,,,,,,,0,0,0.0,0,0,0,0,0,2,76,38.00,2,74,37.0,0,0.0%,2,100.0%,0,0,0%,0,0%,7,33%,
83,2023,2024-01-07,17,18,31.310,SFO,,LAR,L 20-21,,,,,,,,0,0,0.0,0,0,0,0,0,3,144,48.00,26,118,39.3,0,0.0%,1,33.3%,0,0,0%,0,0%,7,37%,
84,2024,2024-09-09,1,1,32.190,SFO,,NYJ,W 32-19,,,,,,,,0,0,0.0,0,0,0,0,0,1,58,58.00,4,54,54.0,0,0.0%,0,0.0%,0,0,0%,0,0%,9,35%,
85,2024,2024-09-15,2,2,32.196,SFO,@,MIN,L 17-23,,,,,,,,0,0,0.0,0,0,0,0,0,2,99,49.50,10,89,29.7,0,0.0%,2,100.0%,1,0,0%,0,0%,7,30%,
86,2024,2024-09-22,3,3,32.203,SFO,@,LAR,L 24-27,,,,,,,,0,0,0.0,1,0,1,0,0,2,90,45.00,38,52,26.0,0,0.0%,1,50.0%,0,0,0%,0,0%,7,26%,
87,2024,2024-09-29,4,4,32.210,SFO,,NWE,W 30-13,,,,,,,,0,0,0.0,0,0,0,0,0,3,133,44.33,39,94,31.3,0,0.0%,0,0.0%,0,0,0%,0,0%,9,35%,
88,2024,2024-10-06,5,5,32.217,SFO,,ARI,L 23-24,,,,,1,1,100.0,0,3,0.0,0,0,0,0,0,1,41,41.00,1,40,40.0,0,0.0%,0,0.0%,0,0,0%,0,0%,7,29%,
89,2024,2024-10-10,6,6,32.221,SFO,@,SEA,W 36-24,,,,,,,,0,0,0.0,0,0,0,0,0,4,173,43.25,0,173,43.3,0,0.0%,3,75.0%,0,0,0%,0,0%,10,33%,
90,2024,2024-10-20,7,7,32.231,SFO,,KAN,L 18-28,,,,,,,,0,0,0.0,0,0,0,0,0,4,193,48.25,55,138,34.5,0,0.0%,3,75.0%,0,0,0%,0,0%,8,33%,
91,2024,2024-10-27,8,8,32.238,SFO,,DAL,W 30-24,,,,,,,,0,0,0.0,0,0,0,0,0,4,172,43.00,13,159,39.8,0,0.0%,1,25.0%,0,0,0%,0,0%,10,33%,
92,2024,2024-11-10,9,10,32.252,SFO,@,TAM,W 23-20,,,,,,,,0,0,0.0,0,0,0,0,0,1,35,35.00,0,35,35.0,0,0.0%,1,100.0%,0,0,0%,0,0%,9,31%,
93,2024,2024-11-17,10,11,,SFO,,SEA,L 17-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
94,2024,2024-11-24,11,12,,SFO,@,GNB,L 10-38,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
