Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rt,Yds,Y/Rt,TD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
109,2021,2021-12-12,13,14,29.305,BUF,@,TAM,L 27-33,,,,,,,,,,,,0,0%,0,0%,5,14%,
110,2021,2021-12-19,14,15,,BUF,,CAR,W 31-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
111,2021,2021-12-26,15,16,,BUF,@,NWE,W 33-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
112,2021,2022-01-02,16,17,29.326,BUF,,ATL,W 29-15,,,,,,,,,,,,6,8%,0,0%,3,16%,
113,2021,2022-01-09,17,18,29.333,BUF,,NYJ,W 27-10,,,,,,,,,,,,6,7%,0,0%,5,15%,
114,2022,2022-09-11,1,1,30.213,NYG,@,TEN,W 21-20,*,,,,,,,,,,,60,100%,0,0%,0,0%,
115,2022,2022-09-18,2,2,30.220,NYG,,CAR,W 19-16,*,,,,,,,,,,,73,100%,0,0%,0,0%,
116,2022,2022-09-26,3,3,30.228,NYG,,DAL,L 16-23,*,,,,,,,,,,,72,100%,0,0%,0,0%,
117,2022,2022-10-02,4,4,30.234,NYG,,CHI,W 20-12,*,,,,,,,,,,,65,100%,0,0%,0,0%,
118,2022,2022-10-09,5,5,30.241,NYG,@,GNB,W 27-22,*,,,,,,,,,,,61,100%,0,0%,0,0%,
119,2022,2022-10-16,6,6,30.248,NYG,,BAL,W 24-20,*,,,,,,,,,,,61,94%,0,0%,0,0%,
120,2022,2022-10-23,7,7,30.255,NYG,@,JAX,W 23-17,*,,,,,,,,,,,77,100%,0,0%,0,0%,
121,2022,2022-10-30,8,8,30.262,NYG,@,SEA,L 13-27,*,,,,,,,,,,,65,100%,0,0%,0,0%,
122,2022,2022-11-13,9,10,30.276,NYG,,HOU,W 24-16,*,,,,,,,,,,,69,100%,0,0%,0,0%,
123,2022,2022-11-20,10,11,30.283,NYG,,DET,L 18-31,*,,,,,,,,,,,55,72%,0,0%,0,0%,
