Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
14,2016,2016-12-15,14,15,23.349,LAR,@,SEA,L 3-24,,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,26,43%,0,0%,0,0%,
15,2016,2016-12-24,15,16,23.358,LAR,,SFO,L 21-22,*,2,2,5,2.50,1,100.0%,2.50,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,30,51%,0,0%,0,0%,
16,2016,2017-01-01,16,17,24.000,LAR,,ARI,L 6-44,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,20%,0,0%,0,0%,
17,2017,2017-09-10,1,1,24.252,LAR,,IND,W 46-9,*,3,2,17,8.50,0,66.7%,5.67,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,53,82%,0,0%,8,23%,
18,2017,2017-09-17,2,2,24.259,LAR,,WAS,L 20-27,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,82%,0,0%,4,13%,
19,2017,2017-09-21,3,3,24.263,LAR,@,SFO,W 41-39,*,3,1,4,4.00,0,33.3%,1.33,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,59,91%,0,0%,15,44%,
20,2017,2017-10-01,4,4,24.273,LAR,@,DAL,W 35-30,*,6,3,47,15.67,0,50.0%,7.83,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,47,68%,0,0%,14,42%,
21,2017,2017-10-08,5,5,24.280,LAR,,SEA,L 10-16,*,8,4,98,24.50,0,50.0%,12.25,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,48,65%,0,0%,5,22%,
22,2017,2017-10-15,6,6,24.287,LAR,@,JAX,W 27-17,*,3,1,0,0.00,0,33.3%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,45,78%,0,0%,8,22%,
23,2017,2017-10-22,7,7,24.294,LAR,,ARI,W 33-0,*,3,3,13,4.33,0,100.0%,4.33,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,54,68%,0,0%,7,29%,
24,2017,2017-11-05,8,9,24.308,LAR,@,NYG,W 51-17,*,2,1,8,8.00,1,50.0%,4.00,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,50,78%,0,0%,14,41%,
