Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
51,2017,2017-09-24,3,3,25.316,KAN,@,LAC,W 24-10,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0%,0,0%,10,38%,
52,2017,2017-11-26,11,12,26.014,CHI,@,PHI,L 3-31,,0,0,,0,0,0,,0,0,,,,,,1,2,50.0,0,3,0.0,0,0,0,,,0,0%,0,0%,4,17%,
53,2017,2017-12-03,12,13,26.021,CHI,,SFO,L 14-15,,0,0,,0,0,0,,0,0,,,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,0%,0,0%,2,9%,
54,2017,2017-12-10,,14,,CHI,@,CIN,W 33-7,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
55,2017,2017-12-16,,15,,CHI,@,DET,L 10-20,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
56,2017,2017-12-24,,16,,CHI,,CLE,W 20-3,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
57,2017,2017-12-31,,17,,CHI,@,MIN,L 10-23,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
58,2018,2018-10-07,5,5,26.329,LAR,@,SEA,W 33-31,,0,0,,0,0,0,,0,0,,,3,4,75.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0%,0,0%,14,47%,
59,2018,2018-10-14,6,6,26.336,LAR,@,DEN,W 23-20,,0,0,,0,0,0,,0,0,,,2,2,100.0,3,4,75.0,0,11,0.0,0,0,0,,,0,0%,0,0%,12,43%,
60,2018,2018-11-18,10,11,27.006,TAM,@,NYG,L 35-38,,0,0,,0,0,0,,0,0,,,5,5,100.0,,,,0,5,0.0,0,0,0,,,0,0%,0,0%,11,38%,
61,2018,2018-11-25,11,12,27.013,TAM,,SFO,W 27-9,,0,0,,0,0,0,,0,0,,,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0%,0,0%,11,39%,
62,2018,2018-12-02,12,13,27.020,TAM,,CAR,W 24-17,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0%,0,0%,9,38%,
63,2018,2018-12-09,13,14,27.027,TAM,,NOR,L 14-28,,0,0,,0,0,0,,0,0,,,2,2,100.0,,2,0.0,0,2,0.0,0,0,0,,,0,0%,0,0%,7,27%,
64,2018,2018-12-16,14,15,27.034,TAM,@,BAL,L 12-20,,0,0,,0,0,0,,0,0,,,,,,2,2,100.0,0,6,0.0,0,0,0,,,0,0%,0,0%,7,30%,
65,2018,2018-12-23,15,16,27.041,TAM,@,DAL,L 20-27,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,,,0,0%,0,0%,10,37%,
66,2018,2018-12-30,16,17,27.048,TAM,,ATL,L 32-34,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0%,0,0%,11,34%,
67,2019,2019-09-08,1,1,27.300,TEN,@,CLE,W 43-13,,0,0,,0,0,0,,0,0,,,5,5,100.0,2,2,100.0,0,11,0.0,0,0,0,0,0,0,0%,0,0%,15,45%,
68,2019,2019-09-15,2,2,27.307,TEN,,IND,L 17-19,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,0,0,0,0%,0,0%,8,31%,
69,2019,2019-09-19,3,3,27.311,TEN,@,JAX,L 7-20,,0,0,,0,0,0,,0,0,,,1,1,100.0,,,,0,1,0.0,0,0,0,0,0,0,0%,0,0%,3,11%,
70,2019,2019-09-29,4,4,27.321,TEN,@,ATL,W 24-10,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,0,0,0%,0,0%,9,39%,
71,2019,2019-10-06,5,5,27.328,TEN,,BUF,L 7-14,,0,0,,0,0,0,,0,0,,,1,1,100.0,,4,0.0,0,1,0.0,0,0,0,0,0,1,2%,0,0%,7,28%,
72,2020,2020-09-13,1,1,28.306,CHI,@,DET,W 27-23,,0,0,,0,0,0,,0,0,,,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,0,0,0,0%,0,0%,11,33%,
73,2020,2020-09-20,2,2,28.313,CHI,,NYG,W 17-13,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,0,0,0,0%,0,0%,8,36%,
74,2020,2020-09-27,3,3,28.320,CHI,@,ATL,W 30-26,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,0,0,0,0%,0,0%,11,31%,
75,2020,2020-10-04,4,4,28.327,CHI,,IND,L 11-19,,0,0,,0,0,0,,0,0,,,,,,1,1,100.0,0,3,0.0,0,0,0,0,0,0,0%,0,0%,4,15%,
76,2020,2020-10-08,5,5,28.331,CHI,,TAM,W 20-19,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,0,0,0%,0,0%,9,32%,
77,2020,2020-10-18,6,6,28.341,CHI,@,CAR,W 23-16,,0,0,,0,0,0,,0,0,,,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,0,0,0,0%,0,0%,11,42%,
78,2020,2020-10-26,7,7,28.349,CHI,@,LAR,L 10-24,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,0,0,0%,0,0%,5,20%,
