Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
126,2013,2013-12-15,14,15,29.210,JAX,,BUF,L 20-27,*,7,4,54,13.50,1,57.1%,7.71,,1,6,0,0,0,0,0,0,62,83%,0,0%,0,0%,
127,2013,2013-12-22,15,16,29.217,JAX,,TEN,L 16-20,*,6,4,50,12.50,1,66.7%,8.33,,1,6,0,0,0,0,0,0,57,98%,0,0%,0,0%,
128,2013,2013-12-29,16,17,29.224,JAX,@,IND,L 10-30,*,6,3,70,23.33,0,50.0%,11.67,,0,0,0,0,0,0,0,0,60,86%,0,0%,0,0%,
129,2014,2014-09-07,1,1,30.111,JAX,@,PHI,L 17-34,*,9,6,35,5.83,0,66.7%,3.89,,0,0,0,0,0,0,0,0,69,95%,0,0%,0,0%,
130,2014,2014-09-14,2,2,30.118,JAX,@,WAS,L 10-41,*,3,2,71,35.50,1,66.7%,23.67,,1,6,0,0,0,0,0,0,23,46%,0,0%,0,0%,
131,2014,2014-09-21,,3,,JAX,,IND,L 17-44,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
132,2014,2014-09-28,,4,,JAX,@,SDG,L 14-33,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
133,2014,2014-10-05,,5,,JAX,,PIT,L 9-17,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
134,2014,2014-10-12,,6,,JAX,@,TEN,L 14-16,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
135,2014,2014-10-19,,7,,JAX,,CLE,W 24-6,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
136,2014,2014-10-26,,8,,JAX,,MIA,L 13-27,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
137,2014,2014-11-02,,9,,JAX,@,CIN,L 23-33,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
138,2014,2014-11-09,,10,,JAX,,DAL,L 17-31,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
139,2014,2014-11-23,11,12,30.188,JAX,@,IND,L 3-23,*,3,1,-5,-5.00,0,33.3%,-1.67,,0,0,0,0,0,0,0,0,43,80%,0,0%,0,0%,
140,2014,2014-11-30,12,13,30.195,JAX,,NYG,W 25-24,*,3,2,8,4.00,0,66.7%,2.67,,0,0,0,0,0,0,0,0,65,96%,0,0%,0,0%,
