Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
160,2022,2022-12-26,15,16,30.243,LAC,@,IND,W 20-3,*,14,11,104,9.45,0,78.6%,7.43,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,57,84%,0,0%,0,0%,
161,2022,2023-01-01,16,17,30.249,LAC,,LAR,W 31-10,*,6,5,60,12.00,0,83.3%,10.00,1,8,8.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,84%,0,0%,0,0%,
162,2022,2023-01-08,17,18,30.256,LAC,@,DEN,L 28-31,*,11,8,102,12.75,2,72.7%,9.27,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,76%,0,0%,0,0%,
163,2023,2023-09-10,1,1,31.136,LAC,,MIA,L 34-36,*,9,6,76,12.67,0,66.7%,8.44,2,6,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,91%,0,0%,0,0%,
164,2023,2023-09-17,2,2,31.143,LAC,@,TEN,L 24-27,*,10,8,111,13.88,2,80.0%,11.10,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,94%,0,0%,0,0%,
165,2023,2023-09-24,3,3,31.150,LAC,@,MIN,W 28-24,*,20,18,215,11.94,0,90.0%,10.75,0,0,,0,1,1,100.00,49,1,0,158.3,0,0,49.00,69.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,59,89%,0,0%,0,0%,
166,2023,2023-10-01,4,4,31.157,LAC,,LVR,W 24-17,*,5,3,32,10.67,1,60.0%,6.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,75%,0,0%,0,0%,
167,2023,2023-10-16,5,6,31.172,LAC,,DAL,L 17-20,*,11,7,85,12.14,1,63.6%,7.73,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,96%,0,0%,0,0%,
168,2023,2023-10-22,6,7,31.178,LAC,@,KAN,L 17-31,*,9,4,55,13.75,0,44.4%,6.11,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,94%,0,0%,0,0%,
169,2023,2023-10-29,7,8,31.185,LAC,,CHI,W 30-13,*,10,8,69,8.63,0,80.0%,6.90,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,80%,0,0%,1,5%,
