Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
126,2019,2019-12-15,,15,,NYG,,MIA,W 36-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
127,2019,2019-12-22,15,16,29.289,NYG,@,WAS,W 41-35,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,1,0,0,70,100%,0,0%,6,18%,
128,2019,2019-12-29,16,17,29.296,NYG,,PHI,L 17-34,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,74,100%,0,0%,3,9%,
129,2020,2020-09-14,1,1,30.190,NYG,,PIT,L 16-26,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,68,100%,0,0%,2,8%,
130,2020,2020-09-20,2,2,30.196,NYG,@,CHI,L 13-17,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,0,0,0,65,100%,0,0%,4,18%,
131,2020,2020-09-27,3,3,30.203,NYG,,SFO,L 9-36,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,52,100%,0,0%,3,13%,
132,2020,2020-10-04,4,4,30.210,NYG,@,LAR,L 9-17,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,68,100%,0,0%,3,13%,
133,2020,2020-10-11,5,5,30.217,NYG,@,DAL,L 34-37,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,68,100%,0,0%,7,21%,
134,2020,2020-10-18,6,6,30.224,NYG,,WAS,W 20-19,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,48,100%,0,0%,4,18%,
135,2020,2020-10-22,7,7,30.228,NYG,@,PHI,L 21-22,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,60,100%,0,0%,3,12%,
136,2020,2020-11-02,8,8,30.239,NYG,,TAM,L 23-25,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,74,100%,0,0%,3,11%,
137,2020,2020-11-08,9,9,30.245,NYG,@,WAS,W 23-20,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,77,100%,0,0%,5,19%,
138,2020,2020-11-15,10,10,30.252,NYG,,PHI,W 27-17,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,59,83%,0,0%,3,12%,
139,2020,2020-11-29,11,12,30.266,NYG,@,CIN,W 19-17,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,81,100%,0,0%,5,17%,
140,2020,2020-12-06,12,13,30.273,NYG,@,SEA,W 17-12,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,56,100%,0,0%,2,7%,
