Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
86,2023,2023-10-01,4,4,,HOU,,PIT,W 30-6,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
87,2023,2023-10-08,5,5,,HOU,@,ATL,L 19-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
88,2023,2023-10-15,6,6,,HOU,,NOR,W 20-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
89,2023,2023-10-29,7,8,27.232,HOU,@,CAR,L 13-15,,0,0,,0,0,0,,0,0,0,0.0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,59,88%,17,71%,
90,2023,2023-11-05,8,9,27.239,HOU,,TAM,W 39-37,*,0,0,,0,0,0,,0,0,0,0.0,6,4,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0%,44,67%,27,82%,
91,2023,2023-11-12,9,10,27.246,HOU,@,CIN,W 30-27,*,0,0,,0,0,0,,0,0,0,0.0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,61,95%,18,56%,
92,2023,2023-11-19,10,11,27.253,HOU,,ARI,W 21-16,*,0,0,,0,0,0,,0,0,0,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,53,87%,8,44%,
93,2023,2023-11-26,11,12,27.260,HOU,,JAX,L 21-24,*,0,0,,0,0,0,,0,0,0,0.0,3,4,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,52,68%,7,27%,
94,2023,2023-12-03,12,13,27.267,HOU,,DEN,W 22-17,,0,0,,0,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,26,81%,
95,2023,2023-12-10,13,14,27.274,HOU,@,NYJ,L 6-30,,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,9,31%,
96,2023,2023-12-17,14,15,,HOU,@,TEN,W 19-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
97,2023,2023-12-24,15,16,,HOU,,CLE,L 22-36,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
98,2023,2023-12-31,16,17,,HOU,,TEN,W 26-3,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
99,2023,2024-01-06,17,18,,HOU,@,IND,W 23-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
100,2024,2024-09-08,1,1,28.181,TAM,,WAS,W 37-20,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,20,74%,
101,2024,2024-09-15,2,2,28.188,TAM,@,DET,W 20-16,,0,0,,0,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,1,1%,22,85%,
102,2024,2024-09-22,3,3,28.195,TAM,,DEN,L 7-26,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,21,95%,
103,2024,2024-09-29,4,4,28.202,TAM,,PHI,W 33-16,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,21,78%,
104,2024,2024-10-03,5,5,28.206,TAM,@,ATL,L 30-36,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,1,1%,26,81%,
105,2024,2024-10-13,6,6,28.216,TAM,@,NOR,W 51-27,,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,30,81%,
