Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
67,2023,2023-09-10,1,1,25.211,LVR,@,DEN,W 17-16,*,19,48,2.53,0,3,2,23,11.50,0,66.7%,7.67,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,80%,0,0%,0,0%,
68,2023,2023-09-17,2,2,25.218,LVR,@,BUF,L 10-38,*,9,-2,-0.22,0,6,5,51,10.20,0,83.3%,8.50,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,73%,0,0%,0,0%,
69,2023,2023-09-24,3,3,25.225,LVR,,PIT,L 18-23,*,17,62,3.65,0,5,3,18,6.00,0,60.0%,3.60,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,82%,0,0%,0,0%,
70,2023,2023-10-01,4,4,25.232,LVR,@,LAC,L 17-24,*,17,58,3.41,1,11,8,81,10.13,0,72.7%,7.36,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,51,70%,0,0%,0,0%,
71,2023,2023-10-09,5,5,25.240,LVR,,GNB,W 17-13,*,20,69,3.45,1,5,5,20,4.00,0,100.0%,4.00,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,54,84%,0,0%,0,0%,
72,2023,2023-10-15,6,6,25.246,LVR,,NWE,W 21-17,*,25,77,3.08,0,5,2,16,8.00,0,40.0%,3.20,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,81%,0,0%,0,0%,
73,2023,2023-10-22,7,7,25.253,LVR,@,CHI,L 12-30,*,11,35,3.18,0,4,1,6,6.00,0,25.0%,1.50,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,43,66%,0,0%,0,0%,
74,2023,2023-10-30,8,8,25.261,LVR,@,DET,L 14-26,*,15,61,4.07,1,4,2,27,13.50,0,50.0%,6.75,1,6,0.0,0,0,0,0,0,1,0,0,0,0,0,35,76%,0,0%,0,0%,
75,2023,2023-11-05,9,9,25.267,LVR,,NYG,W 30-6,*,26,98,3.77,2,0,0,0,,0,0.0%,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,47,78%,0,0%,0,0%,
76,2023,2023-11-12,10,10,25.274,LVR,,NYJ,W 16-12,*,27,116,4.30,0,2,2,11,5.50,0,100.0%,5.50,0,0,0.0,0,0,0,0,0,2,1,0,0,0,0,53,83%,0,0%,0,0%,
77,2023,2023-11-19,11,11,25.281,LVR,@,MIA,L 13-20,*,14,39,2.79,0,1,1,12,12.00,0,100.0%,12.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,77%,0,0%,0,0%,
78,2023,2023-11-26,12,12,25.288,LVR,,KAN,L 17-31,*,20,110,5.50,1,6,4,15,3.75,0,66.7%,2.50,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,44,76%,0,0%,0,0%,
79,2023,2023-12-10,13,14,25.302,LVR,,MIN,L 0-3,*,13,34,2.62,0,2,2,16,8.00,0,100.0%,8.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,63%,0,0%,0,0%,
80,2023,2023-12-14,14,15,,LVR,,LAC,W 63-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
81,2023,2023-12-25,15,16,,LVR,@,KAN,W 20-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
82,2023,2023-12-31,16,17,,LVR,@,IND,L 20-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
83,2023,2024-01-07,17,18,,LVR,,DEN,W 27-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
84,2024,2024-09-06,1,1,26.208,GNB,@,PHI,L 29-34,*,16,84,5.25,0,3,2,20,10.00,0,66.7%,6.67,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,49,73%,0,0%,0,0%,
85,2024,2024-09-15,2,2,26.217,GNB,,IND,W 16-10,*,32,151,4.72,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,47,67%,0,0%,1,5%,
86,2024,2024-09-22,3,3,26.224,GNB,@,TEN,W 30-14,*,14,43,3.07,0,1,1,5,5.00,0,100.0%,5.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,33,52%,0,0%,0,0%,
87,2024,2024-09-29,4,4,26.231,GNB,,MIN,L 29-31,*,9,51,5.67,0,6,4,27,6.75,0,66.7%,4.50,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,61%,0,0%,0,0%,
88,2024,2024-10-06,5,5,26.238,GNB,@,LAR,W 24-19,*,19,73,3.84,1,1,1,21,21.00,0,100.0%,21.00,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,44,75%,0,0%,0,0%,
89,2024,2024-10-13,6,6,26.245,GNB,,ARI,W 34-13,*,18,62,3.44,0,3,3,28,9.33,0,100.0%,9.33,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,63%,0,0%,0,0%,
90,2024,2024-10-20,7,7,26.252,GNB,,HOU,W 24-22,*,12,76,6.33,0,5,5,16,3.20,1,100.0%,3.20,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,39,67%,0,0%,0,0%,
91,2024,2024-10-27,8,8,26.259,GNB,@,JAX,W 30-27,*,25,127,5.08,2,2,1,-2,-2.00,0,50.0%,-1.00,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,45,64%,0,0%,0,0%,
92,2024,2024-11-03,9,9,26.266,GNB,,DET,L 14-24,*,13,95,7.31,0,3,2,13,6.50,0,66.7%,4.33,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,36,55%,0,0%,0,0%,
93,2024,2024-11-17,10,11,26.280,GNB,@,CHI,W 20-19,*,18,76,4.22,1,5,4,58,14.50,0,80.0%,11.60,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,37,80%,0,0%,0,0%,
94,2024,2024-11-24,11,12,26.287,GNB,,SFO,W 38-10,*,26,106,4.08,3,1,0,0,,0,0.0%,0.00,3,18,0.0,0,0,0,0,0,0,0,0,0,0,0,38,53%,0,0%,0,0%,
