Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
44,2016,2016-12-04,12,13,23.070,NOR,,DET,L 13-28,*,9,7,73,10.43,0,77.8%,8.11,1,4,4.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,52,84%,0,0%,0,0%,
45,2016,2016-12-11,13,14,23.077,NOR,@,TAM,L 11-16,*,10,5,61,12.20,0,50.0%,6.10,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,52,85%,0,0%,0,0%,
46,2016,2016-12-18,14,15,23.084,NOR,@,ARI,W 48-41,,8,7,186,26.57,2,87.5%,23.25,0,0,,0,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,66,77%,0,0%,1,3%,
47,2016,2016-12-24,15,16,23.090,NOR,,TAM,W 31-24,*,9,5,98,19.60,0,55.6%,10.89,0,0,,0,0,0,,0,0,0,,0,,0,0,1,0,0,0,0,0,48,68%,0,0%,1,4%,
48,2016,2017-01-01,16,17,23.098,NOR,@,ATL,L 32-38,*,6,3,19,6.33,0,50.0%,3.17,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,55,71%,0,0%,1,3%,
49,2017,2017-09-07,1,1,23.347,NWE,,KAN,L 27-42,*,7,3,88,29.33,0,42.9%,12.57,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,67,83%,0,0%,0,0%,
50,2017,2017-09-17,2,2,23.357,NWE,@,NOR,W 36-20,,4,2,37,18.50,0,50.0%,9.25,2,6,3.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,65,86%,0,0%,1,3%,
51,2017,2017-09-24,3,3,23.364,NWE,,HOU,W 36-33,*,7,5,131,26.20,2,71.4%,18.71,0,0,,0,0,0,,0,0,0,,0,1,2,14,0,0,0,0,0,0,57,89%,0,0%,0,0%,
52,2017,2017-10-01,4,4,24.006,NWE,,CAR,L 30-33,*,6,3,38,12.67,0,50.0%,6.33,1,4,4.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,64,91%,0,0%,0,0%,
53,2017,2017-10-05,5,5,24.010,NWE,@,TAM,W 19-14,*,8,5,85,17.00,0,62.5%,10.63,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,72,97%,0,0%,0,0%,
54,2017,2017-10-15,6,6,24.020,NWE,@,NYJ,W 24-17,*,9,6,93,15.50,0,66.7%,10.33,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,66,97%,0,0%,0,0%,
55,2017,2017-10-22,7,7,24.027,NWE,,ATL,W 23-7,*,5,4,65,16.25,1,80.0%,13.00,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,70,95%,0,0%,0,0%,
56,2017,2017-10-29,8,8,24.034,NWE,,LAC,W 21-13,*,8,5,26,5.20,0,62.5%,3.25,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,82,95%,0,0%,0,0%,
57,2017,2017-11-12,9,10,24.048,NWE,@,DEN,W 41-16,*,11,6,74,12.33,0,54.5%,6.73,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,68,97%,0,0%,0,0%,
58,2017,2017-11-19,10,11,24.055,NWE,@,OAK,W 33-8,*,9,6,149,24.83,1,66.7%,16.56,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,56,93%,0,0%,0,0%,
59,2017,2017-11-26,11,12,24.062,NWE,,MIA,W 35-17,*,7,6,83,13.83,1,85.7%,11.86,1,11,11.00,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,62,89%,0,0%,0,0%,
60,2017,2017-12-03,12,13,24.069,NWE,@,BUF,W 23-3,*,3,2,17,8.50,0,66.7%,5.67,1,5,5.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,68,97%,0,0%,0,0%,
61,2017,2017-12-11,13,14,24.077,NWE,@,MIA,L 20-27,*,7,1,38,38.00,0,14.3%,5.43,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,60,98%,0,0%,0,0%,
62,2017,2017-12-17,14,15,24.083,NWE,@,PIT,W 27-24,*,7,4,60,15.00,1,57.1%,8.57,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,56,95%,0,0%,0,0%,
63,2017,2017-12-24,15,16,24.090,NWE,,BUF,W 37-16,*,5,2,19,9.50,0,40.0%,3.80,1,6,6.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,65,92%,0,0%,0,0%,
64,2017,2017-12-31,16,17,24.097,NWE,,NYJ,W 26-6,*,11,5,79,15.80,1,45.5%,7.18,3,8,2.67,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,78,92%,0,0%,1,3%,
65,2018,2018-09-10,1,1,24.350,LAR,@,OAK,W 33-13,*,8,5,87,17.40,0,62.5%,10.88,1,6,6.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,61,97%,0,0%,0,0%,
66,2018,2018-09-16,2,2,24.356,LAR,,ARI,W 34-0,*,9,7,159,22.71,0,77.8%,17.67,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,72,100%,0,0%,0,0%,
67,2018,2018-09-23,3,3,24.363,LAR,,LAC,W 35-23,*,8,7,90,12.86,0,87.5%,11.25,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,74,96%,0,0%,0,0%,
68,2018,2018-09-27,4,4,25.002,LAR,,MIN,W 38-31,*,8,7,116,16.57,1,87.5%,14.50,1,10,10.00,0,0,0,,0,0,0,,0,,1,6,1,0,0,0,0,0,52,95%,0,0%,0,0%,
69,2018,2018-10-07,5,5,25.012,LAR,@,SEA,W 33-31,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,28,42%,0,0%,0,0%,
70,2018,2018-10-14,6,6,25.019,LAR,@,DEN,W 23-20,*,6,2,53,26.50,0,33.3%,8.83,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,68,92%,0,0%,0,0%,
71,2018,2018-10-21,7,7,25.026,LAR,@,SFO,W 39-10,*,5,4,64,16.00,1,80.0%,12.80,1,7,7.00,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,50,82%,0,0%,0,0%,
72,2018,2018-10-28,8,8,25.033,LAR,,GNB,W 29-27,*,8,3,74,24.67,0,37.5%,9.25,2,9,4.50,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,75,96%,0,0%,0,0%,
73,2018,2018-11-04,9,9,25.040,LAR,@,NOR,L 35-45,*,8,6,114,19.00,1,75.0%,14.25,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,59,98%,0,0%,0,0%,
74,2018,2018-11-11,10,10,25.047,LAR,,SEA,W 36-31,*,12,10,100,10.00,0,83.3%,8.33,1,9,9.00,1,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,63,97%,0,0%,0,0%,
75,2018,2018-11-19,11,11,25.055,LAR,,KAN,W 54-51,*,12,8,107,13.38,0,66.7%,8.92,1,0,0.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,70,88%,0,0%,0,0%,
76,2018,2018-12-02,12,13,25.068,LAR,@,DET,W 30-16,*,6,4,62,15.50,0,66.7%,10.33,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,66,96%,0,0%,1,3%,
77,2018,2018-12-09,13,14,25.075,LAR,@,CHI,L 6-15,*,8,3,22,7.33,0,37.5%,2.75,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,62,98%,0,0%,0,0%,
78,2018,2018-12-16,14,15,25.082,LAR,,PHI,L 23-30,*,7,6,59,9.83,0,85.7%,8.43,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,76,100%,0,0%,0,0%,
79,2018,2018-12-23,15,16,25.089,LAR,@,ARI,W 31-9,*,3,3,35,11.67,0,100.0%,11.67,3,27,9.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,59,87%,0,0%,0,0%,
80,2018,2018-12-30,16,17,25.096,LAR,,SFO,W 48-32,*,9,5,62,12.40,2,55.6%,6.89,0,0,,0,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,54,74%,0,0%,2,6%,
81,2019,2019-09-08,1,1,25.348,LAR,@,CAR,W 30-27,*,6,2,39,19.50,0,33.3%,6.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,70,92%,0,0%,1,3%,
82,2019,2019-09-15,2,2,25.355,LAR,,NOR,W 27-9,*,4,3,74,24.67,1,75.0%,18.50,1,2,2.00,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,65,97%,0,0%,0,0%,
83,2019,2019-09-22,3,3,25.362,LAR,@,CLE,W 20-13,*,12,8,112,14.00,0,66.7%,9.33,1,8,8.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,57,89%,0,0%,0,0%,
84,2019,2019-09-29,4,4,26.004,LAR,,TAM,L 40-55,*,9,6,71,11.83,0,66.7%,7.89,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,80,90%,0,0%,0,0%,
85,2019,2019-10-03,5,5,26.008,LAR,@,SEA,L 29-30,*,3,1,29,29.00,0,33.3%,9.67,1,27,27.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,46,66%,0,0%,0,0%,
86,2019,2019-10-13,6,6,26.018,LAR,,SFO,L 7-20,*,3,3,18,6.00,0,100.0%,6.00,2,14,7.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,51,98%,0,0%,0,0%,
87,2019,2019-10-20,7,7,26.025,LAR,@,ATL,W 37-10,*,7,4,59,14.75,0,57.1%,8.43,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,59,78%,0,0%,0,0%,
88,2019,2019-10-27,8,8,26.032,LAR,,CIN,W 24-10,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,3,5%,0,0%,0,0%,
89,2019,2019-11-10,,10,,LAR,@,PIT,L 12-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
90,2019,2019-11-17,,11,,LAR,,CHI,W 17-7,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
91,2019,2019-11-25,11,12,26.061,LAR,,BAL,L 6-45,*,4,2,32,16.00,0,50.0%,8.00,1,1,1.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,40,77%,0,0%,0,0%,
92,2019,2019-12-01,12,13,26.067,LAR,@,ARI,W 34-7,*,2,2,24,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,61,77%,0,0%,0,0%,
93,2019,2019-12-08,13,14,26.074,LAR,,SEA,W 28-12,*,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,26,38%,0,0%,0,0%,
94,2019,2019-12-15,14,15,26.081,LAR,@,DAL,L 21-44,*,8,4,46,11.50,0,50.0%,5.75,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,53,72%,0,0%,0,0%,
95,2019,2019-12-21,15,16,26.087,LAR,@,SFO,L 31-34,*,6,4,39,9.75,1,66.7%,6.50,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,41,59%,0,0%,0,0%,
96,2019,2019-12-29,16,17,26.095,LAR,,ARI,W 31-24,*,5,3,40,13.33,0,60.0%,8.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,49,60%,0,0%,0,0%,
97,2020,2020-09-10,1,1,26.351,HOU,@,KAN,L 20-34,*,5,2,20,10.00,0,40.0%,4.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,31,53%,0,0%,0,0%,
