Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
59,2020,2020-11-29,11,12,25.240,GNB,,CHI,W 41-25,,17,73,4.29,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,33,46%,0,0%,7,28%,
60,2020,2020-12-06,12,13,25.247,GNB,,PHI,W 30-16,,5,26,5.20,0,2,2,10,5.00,0,100.0%,5.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,21,34%,0,0%,8,30%,
61,2020,2020-12-13,13,14,25.254,GNB,@,DET,W 31-24,,10,38,3.80,0,0,0,0,,0,0.0%,,1,20,20.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,20,30%,0,0%,7,27%,
62,2020,2020-12-19,14,15,25.260,GNB,,CAR,W 24-16,,1,6,6.00,0,2,2,14,7.00,0,100.0%,7.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,6%,0,0%,1,4%,
63,2020,2020-12-27,15,16,,GNB,,TEN,W 40-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
64,2020,2021-01-03,16,17,25.275,GNB,@,CHI,W 35-16,,5,26,5.20,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,26%,0,0%,7,30%,
65,2021,2021-09-12,1,1,26.162,DET,,SFO,L 33-41,*,9,54,6.00,1,9,8,56,7.00,0,88.9%,6.22,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,32,35%,0,0%,0,0%,
66,2021,2021-09-20,2,2,26.170,DET,@,GNB,L 17-35,*,7,25,3.57,0,3,3,12,4.00,0,100.0%,4.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,22,39%,0,0%,0,0%,
67,2021,2021-09-26,3,3,26.176,DET,,BAL,L 17-19,*,12,42,3.50,1,2,2,25,12.50,0,100.0%,12.50,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,31,49%,0,0%,0,0%,
68,2021,2021-10-03,4,4,26.183,DET,@,CHI,L 14-24,*,14,66,4.71,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,21,30%,0,0%,0,0%,
69,2021,2021-10-10,5,5,26.190,DET,@,MIN,L 17-19,*,13,57,4.38,0,2,2,8,4.00,0,100.0%,4.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,22,32%,0,0%,0,0%,
70,2021,2021-10-17,6,6,26.197,DET,,CIN,L 11-34,*,4,11,2.75,0,2,1,-2,-2.00,0,50.0%,-1.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,19,30%,0,0%,0,0%,
71,2021,2021-10-24,7,7,26.204,DET,@,LAR,L 19-28,*,12,57,4.75,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,20,29%,0,0%,0,0%,
72,2021,2021-10-31,8,8,,DET,,PHI,L 6-44,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
73,2021,2021-11-14,9,10,,DET,@,PIT,T 16-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
74,2021,2021-11-21,10,11,26.232,DET,@,CLE,L 10-13,*,7,11,1.57,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,13,27%,0,0%,0,0%,
75,2021,2021-11-25,11,12,26.236,DET,,CHI,L 14-16,,15,65,4.33,0,5,5,18,3.60,0,100.0%,3.60,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,63%,0,0%,0,0%,
