Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Rt,Yds,Y/Rt,TD,2PM,Sfty,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
57,2021,2021-11-04,9,9,26.321,IND,,NYJ,W 45-30,*,7,4,58,14.50,0,57.1%,8.29,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,84%,0,0%,6,20%,
58,2021,2021-11-14,10,10,26.331,IND,,JAX,W 23-17,*,2,2,9,4.50,0,100.0%,4.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,89%,0,0%,3,9%,
59,2021,2021-11-21,11,11,26.338,IND,@,BUF,W 41-15,*,1,0,0,,0,0.0%,0.00,1,9,9.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,78%,0,0%,3,13%,
60,2021,2021-11-28,12,12,26.345,IND,,TAM,L 31-38,*,7,2,12,6.00,0,28.6%,1.71,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,1,0,1,0,0,1,1,0,0,0,0,64,93%,0,0%,7,23%,
61,2021,2021-12-05,13,13,26.352,IND,@,HOU,W 31-0,,3,1,6,6.00,0,33.3%,2.00,1,12,12.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,75%,0,0%,1,5%,
62,2021,2021-12-18,14,15,27.000,IND,,NWE,W 27-17,,2,1,23,23.00,0,50.0%,11.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,65%,0,0%,4,16%,
63,2021,2021-12-25,15,16,,IND,@,ARI,W 22-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
64,2021,2022-01-02,16,17,27.015,IND,,LVR,L 20-23,,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,59%,0,0%,6,23%,
65,2021,2022-01-09,17,18,27.022,IND,@,JAX,L 11-26,*,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,86%,0,0%,8,37%,
66,2022,2022-09-11,1,1,27.267,PHI,@,DET,W 38-35,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,22%,0,0%,13,42%,
