Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
119,2019,2019-10-27,,8,,NYJ,@,JAX,L 15-29,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
120,2019,2019-11-03,,9,,NYJ,@,MIA,L 18-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
121,2019,2019-11-10,9,10,30.155,NYJ,,NYG,W 34-27,*,0,,,0,0,0,65,100%,0,0%,0,0%,
122,2019,2019-11-17,10,11,30.162,NYJ,@,WAS,W 34-17,*,0,,,0,0,0,70,100%,0,0%,0,0%,
123,2019,2019-11-24,11,12,30.169,NYJ,,OAK,W 34-3,*,0,,,0,0,0,59,94%,0,0%,0,0%,
124,2019,2019-12-01,12,13,30.176,NYJ,@,CIN,L 6-22,*,0,,,0,0,0,72,100%,0,0%,0,0%,
125,2019,2019-12-08,13,14,30.183,NYJ,,MIA,W 22-21,*,0,,,0,0,0,71,100%,0,0%,0,0%,
126,2019,2019-12-12,14,15,30.187,NYJ,@,BAL,L 21-42,*,0,,,0,0,0,59,100%,0,0%,0,0%,
127,2019,2019-12-22,15,16,30.197,NYJ,,PIT,W 16-10,*,0,,,0,0,0,61,100%,0,0%,0,0%,
128,2019,2019-12-29,16,17,30.204,NYJ,@,BUF,W 13-6,*,0,,,0,0,0,67,100%,0,0%,0,0%,
129,2020,2020-09-13,1,1,31.097,ARI,@,SFO,W 24-20,*,0,,,0,0,0,82,100%,0,0%,6,21%,
130,2020,2020-09-20,2,2,31.104,ARI,,WAS,W 30-15,*,0,,,0,0,0,77,100%,0,0%,6,21%,
131,2020,2020-09-27,3,3,31.111,ARI,,DET,L 23-26,*,0,,,0,0,0,65,100%,0,0%,4,14%,
132,2020,2020-10-04,4,4,31.118,ARI,@,CAR,L 21-31,*,0,,,0,0,0,57,100%,0,0%,3,12%,
133,2020,2020-10-11,5,5,31.125,ARI,@,NYJ,W 30-10,*,0,,,0,0,0,76,100%,0,0%,4,16%,
134,2020,2020-10-19,6,6,31.133,ARI,@,DAL,W 38-10,*,0,,,0,0,0,62,100%,0,0%,6,22%,
135,2020,2020-10-25,7,7,31.139,ARI,,SEA,W 37-34,*,0,,,0,0,0,84,100%,0,0%,9,27%,
136,2020,2020-11-08,8,9,31.153,ARI,,MIA,L 31-34,*,0,,,0,0,0,69,100%,0,0%,6,21%,
137,2020,2020-11-15,9,10,31.160,ARI,,BUF,W 32-30,*,0,,,0,0,0,73,100%,0,0%,6,18%,
138,2020,2020-11-19,10,11,31.164,ARI,@,SEA,L 21-28,*,0,,,0,0,0,67,100%,0,0%,3,12%,
139,2020,2020-11-29,11,12,31.174,ARI,@,NWE,L 17-20,*,0,,,0,0,0,74,100%,0,0%,4,18%,
140,2020,2020-12-06,12,13,31.181,ARI,,LAR,L 28-38,*,0,,,0,0,0,64,100%,0,0%,5,17%,
141,2020,2020-12-13,13,14,31.188,ARI,@,NYG,W 26-7,*,0,0,0,1,0,0,75,95%,0,0%,5,17%,
142,2020,2020-12-20,14,15,31.195,ARI,,PHI,W 33-26,*,0,,,0,0,0,68,100%,0,0%,5,17%,
143,2020,2020-12-26,15,16,31.201,ARI,,SFO,L 12-20,*,0,,,0,0,0,82,100%,0,0%,2,8%,
144,2020,2021-01-03,16,17,31.209,ARI,@,LAR,L 7-18,*,0,,,0,0,0,53,100%,0,0%,2,8%,
145,2021,2021-09-12,1,1,32.096,ARI,@,TEN,W 38-13,*,,,,,,,41,59%,0,0%,4,15%,
146,2021,2021-09-19,2,2,32.103,ARI,,MIN,W 34-33,*,,,,,,,29,48%,0,0%,5,14%,
147,2021,2021-09-26,3,3,,ARI,@,JAX,W 31-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
148,2021,2021-10-03,4,4,,ARI,@,LAR,W 37-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
149,2021,2021-10-10,5,5,32.124,ARI,,SFO,W 17-10,*,,,,,,,61,100%,0,0%,0,0%,
150,2021,2021-10-17,6,6,32.131,ARI,@,CLE,W 37-14,*,,,,,,,68,91%,0,0%,0,0%,
151,2021,2021-10-24,7,7,32.138,ARI,,HOU,W 31-5,*,,,,,,,66,93%,0,0%,0,0%,
152,2021,2021-10-28,8,8,32.142,ARI,,GNB,L 21-24,*,,,,,,,59,100%,0,0%,3,14%,
153,2021,2021-11-07,9,9,32.152,ARI,@,SFO,W 31-17,*,,,,,,,70,100%,0,0%,5,19%,
154,2021,2021-11-14,10,10,32.159,ARI,,CAR,L 10-34,*,,,,,,,51,93%,0,0%,2,8%,
155,2021,2021-11-21,11,11,32.166,ARI,@,SEA,W 23-13,*,,,,,,,83,100%,0,0%,1,4%,
156,2021,2021-12-05,12,13,32.180,ARI,@,CHI,W 33-22,*,,,,,,,53,100%,0,0%,6,25%,
157,2021,2021-12-13,13,14,32.188,ARI,,LAR,L 23-30,*,,,,,,,78,100%,0,0%,5,19%,
158,2021,2021-12-19,14,15,32.194,ARI,@,DET,L 12-30,*,,,,,,,75,100%,0,0%,2,8%,
159,2021,2021-12-25,15,16,32.200,ARI,,IND,L 16-22,*,,,,,,,65,100%,0,0%,5,21%,
160,2021,2022-01-02,16,17,32.208,ARI,@,DAL,W 25-22,*,,,,,,,77,100%,0,0%,5,19%,
161,2021,2022-01-09,17,18,32.215,ARI,,SEA,L 30-38,*,,,,,,,73,96%,0,0%,3,9%,
162,2022,2022-09-11,1,1,33.095,ARI,,KAN,L 21-44,*,,,,,,,57,88%,0,0%,1,4%,
163,2022,2022-09-18,2,2,33.102,ARI,@,LVR,W 29-23,*,,,,,,,87,100%,0,0%,1,5%,
164,2022,2022-09-25,3,3,33.109,ARI,,LAR,L 12-20,*,,,,,,,83,100%,0,0%,4,16%,
165,2022,2022-10-02,4,4,33.116,ARI,@,CAR,W 26-16,*,,,,,,,76,100%,0,0%,4,17%,
166,2022,2022-10-09,5,5,33.123,ARI,,PHI,L 17-20,*,,,,,,,69,100%,0,0%,4,16%,
167,2022,2022-10-16,6,6,33.130,ARI,@,SEA,L 9-19,*,0,0,0,1,0,0,71,100%,0,0%,2,8%,
168,2022,2022-10-20,7,7,33.134,ARI,,NOR,W 42-34,*,,,,,,,66,100%,0,0%,5,16%,
169,2022,2022-10-30,8,8,33.144,ARI,@,MIN,L 26-34,*,,,,,,,78,100%,0,0%,4,13%,
170,2022,2022-11-06,9,9,33.151,ARI,,SEA,L 21-31,*,,,,,,,63,100%,0,0%,3,11%,
171,2022,2022-11-13,10,10,33.158,ARI,@,LAR,W 27-17,*,,,,,,,67,99%,0,0%,5,18%,
172,2022,2022-11-21,11,11,33.166,ARI,,SFO,L 10-38,*,,,,,,,71,100%,0,0%,0,0%,
173,2022,2022-11-27,12,12,33.172,ARI,,LAC,L 24-25,*,,,,,,,66,100%,0,0%,3,11%,
174,2022,2022-12-12,13,14,33.187,ARI,,NWE,L 13-27,*,,,,,,,75,100%,0,0%,4,15%,
175,2022,2022-12-18,14,15,33.193,ARI,@,DEN,L 15-24,*,,,,,,,49,75%,0,0%,2,7%,
176,2022,2022-12-25,15,16,33.200,ARI,,TAM,L 16-19,*,,,,,,,76,100%,0,0%,0,0%,
177,2022,2023-01-01,16,17,33.207,ARI,@,ATL,L 19-20,*,,,,,,,74,100%,0,0%,0,0%,
178,2022,2023-01-08,17,18,33.214,ARI,@,SFO,L 13-38,*,,,,,,,52,100%,0,0%,0,0%,
179,2023,2023-09-10,1,1,,ARI,@,WAS,L 16-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
180,2023,2023-09-17,2,2,,ARI,,NYG,L 28-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
181,2023,2023-09-24,3,3,,ARI,,DAL,W 28-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
182,2023,2023-10-01,4,4,,ARI,@,SFO,L 16-35,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
183,2023,2023-10-08,5,5,,ARI,,CIN,L 20-34,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
