Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct,Status
99,2016,2016-11-13,9,10,29.218,CAR,,KAN,L 17-20,,2,2,100.0,1,1,100.0,0,5,0.0,1,0,1,0,0,0,0,0,0,0,0,4,180,45.00,21,119,29.8,2,50.0%,0,0.0%,0,0,0%,0,0%,11,42%,
100,2016,2016-11-17,10,11,29.222,CAR,,NOR,W 23-20,,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,12,38%,
101,2016,2016-11-27,11,12,29.232,CAR,@,OAK,L 32-35,,2,3,66.7,,,,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,9,28%,
102,2016,2016-12-04,12,13,29.239,CAR,@,SEA,L 7-40,,1,1,100.0,,,,0,1,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,3,11%,
103,2016,2016-12-11,13,14,29.246,CAR,,SDG,W 28-16,,2,2,100.0,4,4,100.0,0,14,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,13,46%,
104,2016,2016-12-19,14,15,29.254,CAR,@,WAS,W 26-15,,2,2,100.0,4,5,80.0,0,14,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,14,40%,
105,2016,2016-12-24,15,16,29.259,CAR,,ATL,L 16-33,,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,9,29%,
106,2016,2017-01-01,16,17,29.267,CAR,@,TAM,L 16-17,,1,1,100.0,1,4,25.0,0,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,9,33%,
107,2017,2017-09-10,1,1,30.154,CAR,@,SFO,W 23-3,,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,10,50%,
108,2017,2017-09-17,2,2,30.161,CAR,,BUF,W 9-3,,,,,3,3,100.0,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,7,32%,
109,2017,2017-09-24,3,3,30.168,CAR,,NOR,L 13-34,,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,7,27%,
110,2017,2017-10-01,4,4,30.175,CAR,@,NWE,W 33-30,,3,4,75.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,12,43%,
111,2017,2017-10-08,5,5,30.182,CAR,@,DET,W 27-24,,3,3,100.0,2,3,66.7,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,12,38%,
112,2017,2017-10-12,6,6,30.186,CAR,,PHI,L 23-28,,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,11,34%,
113,2017,2017-10-22,7,7,30.196,CAR,@,CHI,L 3-17,,,,,1,1,100.0,0,3,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,3,14%,
114,2017,2017-10-29,8,8,30.203,CAR,@,TAM,W 17-3,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,7,30%,
115,2017,2017-11-05,9,9,30.210,CAR,,ATL,W 20-17,,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,9,36%,
116,2017,2017-11-13,10,10,30.218,CAR,,MIA,W 45-21,,6,6,100.0,1,1,100.0,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,15,54%,
117,2017,2017-11-26,11,12,30.231,CAR,@,NYJ,W 35-27,,,1,0.0,3,3,100.0,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,12,32%,
