Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
60,2022,2022-11-24,11,12,25.082,BUF,@,DET,W 28-25,*,14,72,5.14,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,60,78%,0,0%,0,0%,
61,2022,2022-12-01,12,13,25.089,BUF,@,NWE,W 24-10,*,13,51,3.92,1,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,33,44%,0,0%,0,0%,
62,2022,2022-12-11,13,14,25.099,BUF,,NYJ,W 20-12,*,8,39,4.88,0,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,49%,0,0%,0,0%,
63,2022,2022-12-17,14,15,25.105,BUF,,MIA,W 32-29,*,13,42,3.23,0,4,3,28,9.33,0,75.0%,7.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,60%,0,0%,0,0%,
64,2022,2022-12-24,15,16,25.112,BUF,@,CHI,W 35-13,*,12,106,8.83,1,3,2,19,9.50,0,66.7%,6.33,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,37,58%,0,0%,0,0%,
65,2022,2023-01-08,16,18,25.127,BUF,,NWE,W 35-23,*,7,29,4.14,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,24,41%,0,0%,0,0%,
66,2023,2023-09-10,1,1,26.007,HOU,@,BAL,L 9-25,,7,15,2.14,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,16,21%,0,0%,0,0%,
67,2023,2023-09-17,2,2,26.014,HOU,,IND,L 20-31,,4,14,3.50,0,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,,,2,37,18.50,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,30,36%,0,0%,4,14%,
68,2023,2023-09-24,3,3,26.021,HOU,@,JAX,W 37-17,,9,41,4.56,0,2,2,4,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,22,39%,0,0%,0,0%,
69,2023,2023-10-01,4,4,26.028,HOU,,PIT,W 30-6,,7,25,3.57,0,1,1,11,11.00,0,100.0%,11.00,1,1,100.00,6,1,0,131.2,0,0,6.00,26.00,1,35,35.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,35%,0,0%,3,12%,
