Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct
57,2015,2015-11-15,9,10,25.280,STL,,CHI,L 13-37,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,296,49.33,9,287,47.8,0,0.0%,3,50.0%,0,0,0%,0,0%,10,30%
58,2015,2015-11-22,10,11,25.287,STL,@,BAL,L 13-16,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,8,367,45.88,5,342,42.8,1,12.5%,4,50.0%,0,0,0%,0,0%,11,37%
59,2015,2015-11-29,11,12,25.294,STL,@,CIN,L 7-31,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,225,45.00,16,189,37.8,1,20.0%,1,20.0%,0,0,0%,0,0%,6,25%
60,2015,2015-12-06,12,13,25.301,STL,,ARI,L 3-27,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,8,436,54.50,30,386,48.3,1,12.5%,5,62.5%,0,0,0%,0,0%,11,39%
61,2015,2015-12-13,13,14,25.308,STL,,DET,W 21-14,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,6,284,47.33,11,273,45.5,0,0.0%,4,66.7%,0,0,0%,0,0%,9,36%
62,2015,2015-12-17,14,15,25.312,STL,,TAM,W 31-23,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,220,44.00,0,220,44.0,0,0.0%,3,60.0%,0,0,0%,0,0%,10,33%
63,2015,2015-12-27,15,16,25.322,STL,@,SEA,W 23-17,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,240,40.00,20,220,36.7,0,0.0%,2,33.3%,0,0,0%,0,0%,10,37%
64,2015,2016-01-03,16,17,25.329,STL,@,SFO,L 16-19,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,259,51.80,0,239,47.8,1,20.0%,1,20.0%,0,0,0%,0,0%,12,36%
65,2016,2016-09-12,1,1,26.217,LAR,@,SFO,L 0-28,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,10,431,43.10,11,420,42.0,0,0.0%,4,40.0%,0,0,0%,0,0%,10,37%
66,2016,2016-09-18,2,2,26.223,LAR,,SEA,W 9-3,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,237,39.50,0,237,39.5,0,0.0%,6,100.0%,0,0,0%,0,0%,9,39%
67,2016,2016-09-25,3,3,26.230,LAR,@,TAM,W 37-32,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,256,51.20,26,230,46.0,0,0.0%,2,40.0%,0,0,0%,0,0%,10,32%
68,2016,2016-10-02,4,4,26.237,LAR,@,ARI,W 17-13,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,277,46.17,23,254,42.3,0,0.0%,3,50.0%,0,0,0%,0,0%,9,38%
69,2016,2016-10-09,5,5,26.244,LAR,,BUF,L 19-30,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,109,54.50,-2,111,55.5,0,0.0%,1,50.0%,0,0,0%,0,0%,8,26%
70,2016,2016-10-16,6,6,26.251,LAR,@,DET,L 28-31,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,94,47.00,4,90,45.0,0,0.0%,0,0.0%,0,0,0%,0,0%,6,25%
71,2016,2016-10-23,7,7,26.258,LAR,,NYG,L 10-17,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,322,46.00,13,309,44.1,0,0.0%,6,85.7%,0,0,0%,0,0%,8,30%
72,2016,2016-11-06,8,9,26.272,LAR,,CAR,L 10-13,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,243,48.60,0,223,44.6,1,20.0%,2,40.0%,0,0,0%,0,0%,9,35%
73,2016,2016-11-13,9,10,26.279,LAR,@,NYJ,W 9-6,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,362,51.71,10,352,50.3,0,0.0%,4,57.1%,0,0,0%,0,0%,10,40%
74,2016,2016-11-20,10,11,26.286,LAR,,MIA,L 10-14,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,8,364,45.50,1,363,45.4,0,0.0%,5,62.5%,0,0,0%,0,0%,11,38%
75,2016,2016-11-27,11,12,26.293,LAR,@,NOR,L 21-49,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,294,49.00,8,286,47.7,0,0.0%,2,33.3%,0,0,0%,0,0%,9,28%
76,2016,2016-12-04,12,13,26.300,LAR,@,NWE,L 10-26,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,8,430,53.75,7,423,52.9,0,0.0%,5,62.5%,0,0,0%,0,0%,10,31%
77,2016,2016-12-11,13,14,26.307,LAR,,ATL,L 14-42,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,340,48.57,0,340,48.6,0,0.0%,6,85.7%,0,0,0%,0,0%,9,27%
78,2016,2016-12-15,14,15,26.311,LAR,@,SEA,L 3-24,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,216,54.00,16,200,50.0,0,0.0%,0,0.0%,0,0,0%,0,0%,6,29%
79,2016,2016-12-24,15,16,26.320,LAR,,SFO,L 21-22,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,8,368,46.00,9,359,44.9,0,0.0%,4,50.0%,0,0,0%,0,0%,11,37%
80,2016,2017-01-01,16,17,26.328,LAR,,ARI,L 6-44,,1,1,100.00,4,0,0,83.3,0,0,4.00,4.00,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,337,48.14,26,311,44.4,0,0.0%,1,14.3%,0,0,0%,0,0%,11,31%
