Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
67,2023,2023-09-10,1,1,26.132,CAR,@,ATL,L 10-24,*,18,72,4.00,0,6,4,26,6.50,0,66.7%,4.33,0,0,,0,,0,0,1,1,0,0,0,0,44,57%,0,0%,0,0%,
68,2023,2023-09-18,2,2,26.140,CAR,,NOR,L 17-20,*,14,43,3.07,0,5,3,4,1.33,0,60.0%,0.80,0,0,,0,,0,0,0,0,0,0,0,0,37,62%,0,0%,0,0%,
69,2023,2023-09-24,3,3,26.146,CAR,@,SEA,L 27-37,*,9,24,2.67,1,9,5,38,7.60,0,55.6%,4.22,0,0,,0,,1,6,0,0,0,0,0,0,51,65%,0,0%,0,0%,
70,2023,2023-10-01,4,4,26.153,CAR,,MIN,L 13-21,*,13,19,1.46,0,3,3,13,4.33,0,100.0%,4.33,0,0,,0,,0,0,0,0,0,0,0,0,31,43%,0,0%,0,0%,
71,2023,2023-10-08,5,5,26.160,CAR,@,DET,L 24-42,*,7,32,4.57,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,1,1,0,0,0,0,33,46%,0,0%,0,0%,
72,2023,2023-10-15,6,6,,CAR,@,MIA,L 21-42,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
73,2023,2023-10-29,7,8,26.181,CAR,,HOU,W 15-13,,2,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,0,0,0,0,0,12,18%,0,0%,0,0%,
74,2023,2023-11-05,8,9,26.188,CAR,,IND,L 13-27,,6,39,6.50,0,5,3,22,7.33,0,60.0%,4.40,0,0,,0,,0,0,0,0,0,0,0,0,18,25%,0,0%,0,0%,
75,2023,2023-11-09,9,10,26.192,CAR,@,CHI,L 13-16,,2,-5,-2.50,0,2,2,15,7.50,0,100.0%,7.50,0,0,,0,,0,0,0,0,0,0,0,0,23,38%,0,0%,0,0%,
76,2023,2023-11-19,10,11,26.202,CAR,,DAL,L 10-33,,11,50,4.55,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,,0,0,0,0,0,0,0,0,27,46%,0,0%,0,0%,
77,2023,2023-11-26,11,12,26.209,CAR,@,TEN,L 10-17,,15,28,1.87,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0,0,0,0,0,0,27,36%,0,0%,1,4%,
78,2023,2023-12-03,12,13,26.216,CAR,@,TAM,L 18-21,,8,23,2.88,0,2,1,6,6.00,0,50.0%,3.00,0,0,,0,,0,0,0,0,0,1,0,0,23,32%,0,0%,0,0%,
79,2023,2023-12-10,13,14,26.223,CAR,@,NOR,L 6-28,,10,74,7.40,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,0,0,0,0,0,17,21%,0,0%,0,0%,
80,2023,2023-12-17,14,15,26.230,CAR,,ATL,W 9-7,,6,2,0.33,0,2,2,11,5.50,0,100.0%,5.50,0,0,,0,,0,0,0,0,0,0,0,0,18,27%,0,0%,0,0%,
81,2023,2023-12-24,15,16,26.237,CAR,,GNB,L 30-33,,3,3,1.00,0,2,1,5,5.00,0,50.0%,2.50,0,0,,0,,0,0,0,0,0,0,0,0,24,36%,0,0%,0,0%,
82,2023,2023-12-31,16,17,26.244,CAR,@,JAX,L 0-26,,2,10,5.00,0,2,2,12,6.00,0,100.0%,6.00,0,0,,0,,0,0,0,0,0,0,0,0,14,26%,0,0%,0,0%,
83,2023,2024-01-07,17,18,26.251,CAR,,TAM,L 0-9,,3,18,6.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,0,0,0,0,0,7,13%,0,0%,0,0%,
84,2024,2024-09-08,1,1,27.130,CAR,@,NOR,L 10-47,,5,22,4.40,0,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0,0,0,0,0,0,22,37%,0,0%,0,0%,
85,2024,2024-09-15,2,2,27.137,CAR,,LAC,L 3-26,,7,20,2.86,0,3,3,5,1.67,0,100.0%,1.67,0,0,,0,,0,0,0,0,0,0,0,0,20,42%,0,0%,0,0%,
86,2024,2024-09-22,3,3,27.144,CAR,@,LVR,W 36-22,,7,17,2.43,1,2,2,13,6.50,0,100.0%,6.50,0,0,,0,,1,6,0,0,0,0,0,0,31,42%,0,0%,1,3%,
87,2024,2024-09-29,4,4,27.151,CAR,,CIN,L 24-34,,6,32,5.33,0,4,3,14,4.67,0,75.0%,3.50,0,0,,0,,0,0,0,0,0,0,0,0,22,31%,0,0%,0,0%,
88,2024,2024-10-06,5,5,27.158,CAR,@,CHI,L 10-36,,2,6,3.00,0,3,2,27,13.50,0,66.7%,9.00,0,0,,0,,0,0,0,0,0,0,0,0,23,38%,0,0%,0,0%,
89,2024,2024-10-13,6,6,27.165,CAR,,ATL,L 20-38,,3,1,0.33,0,1,1,12,12.00,0,100.0%,12.00,0,0,,0,,0,0,0,0,0,0,0,0,15,23%,0,0%,0,0%,
90,2024,2024-10-20,7,7,27.172,CAR,@,WAS,L 7-40,,3,34,11.33,0,2,1,-6,-6.00,0,50.0%,-3.00,0,0,,0,,0,0,0,0,0,0,0,0,11,26%,0,0%,0,0%,
91,2024,2024-10-27,8,8,27.179,CAR,@,DEN,L 14-28,*,1,7,7.00,0,7,7,38,5.43,0,100.0%,5.43,0,0,,0,,0,0,0,0,0,0,0,0,21,34%,0,0%,0,0%,
92,2024,2024-11-03,9,9,27.186,CAR,,NOR,W 23-22,,2,-5,-2.50,0,2,2,-5,-2.50,0,100.0%,-2.50,1,14,14.00,0,,0,0,0,0,0,0,0,0,12,23%,0,0%,3,10%,
93,2024,2024-11-10,10,10,27.193,CAR,,NYG,W 20-17,,2,5,2.50,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,0,0,0,0,0,6,10%,0,0%,0,0%,
94,2024,2024-11-24,11,12,,CAR,,KAN,L 27-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
