Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Ret,Yds,Y/R,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
60,2020,2020-12-06,12,13,25.215,GNB,,PHI,W 30-16,*,0,0,,0,0.0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,59,95%,1,4%,
61,2020,2020-12-13,13,14,25.222,GNB,@,DET,W 31-24,*,0,0,,0,0.0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,65,97%,0,0%,
62,2020,2020-12-19,14,15,25.228,GNB,,CAR,W 24-16,*,0,0,,0,0.0,6,0,6,0,0,0,0,0,0,0,0,1,1,48,0,0,0%,69,100%,2,7%,
63,2020,2020-12-27,15,16,25.236,GNB,,TEN,W 40-14,*,0,0,,0,0.0,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,52,95%,1,5%,
64,2020,2021-01-03,16,17,25.243,GNB,@,CHI,W 35-16,*,0,0,,0,0.0,7,3,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,74,99%,0,0%,
65,2021,2021-09-12,1,1,26.130,GNB,@,NOR,L 3-38,*,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,56,90%,0,0%,
66,2021,2021-09-20,2,2,26.138,GNB,,DET,W 35-17,*,0,0,,0,0.0,2,2,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0%,56,98%,0,0%,
67,2021,2021-09-26,3,3,,GNB,@,SFO,W 30-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
68,2021,2021-10-03,4,4,,GNB,,PIT,W 27-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
69,2021,2021-10-10,5,5,26.158,GNB,@,CIN,W 25-22,*,0,0,,0,0.0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,42,63%,0,0%,
